STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,MCYCL_WT,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,VIN_REST,WHLDRWHL,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK
1,10009,1,2,1,1,1,18,42,12,1,1,0,1,2,12,471,12471,30,1998,1FTZR15X9WPB,1,F,T,Z,R,1,5,X,9,W,P,B,0,T,FORD,RNS,PC,98,17,,1,0,1259,RNG,G,,,6,245,,,,B,3597,00,E,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,12,6,2,8,0,0,0,1,1,35125,6,1,1,0,3,0,66,234,0,1,0,3,1,4,2009,11,2011,0,0,0,0,0,1,2,35,1,5,2,1,0,0,1,13,6,1,4,32,0,0
1,10009,2,2,0,1,1,18,42,12,1,1,0,1,6,20,471,20471,30,1989,1GCCS19ZXK81,1,G,C,C,S,1,9,Z,X,K,8,1,0,T,CHEV,S14,PC,89,17,,1,0,1229,S,G,,,6,262,,,,B,2754,01,,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,0,0,99997,7,6,97,7,6,7,998,997,998,998,998,998,998,98,9998,98,9998,8,20,0,0,0,1,2,35,1,5,2,1,0,0,0,60,0,0,0,32,0,0
1,10010,1,1,3,4,1,18,28,8,0,1,0,1,1,49,40,49040,2,2006,4T1CA38P16U1,4,T,1,C,A,3,8,P,1,6,U,1,0,P,TOYT,CEE,CP,6,17,3417,,0,1051,,G,,F,6,201,,,16R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,12,4,3,8,0,0,0,1,1,36107,6,1,0,0,3,0,72,200,0,2,0,2,1,6,2009,11,2009,0,0,0,0,0,5,5,50,1,1,2,1,0,0,1,80,1,1,1,13,0,0
1,10011,1,1,1,6,1,13,36,31,0,1,0,1,1,18,22,18022,4,2006,2G4WD5821611,2,G,4,W,D,5,8,2,1,6,1,1,0,P,BUIC,LAL,4D,6,17,3502,,0,1105,,G,,F,6,232,,,16R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,12,6,2,31,0,0,0,1,1,35210,6,1,0,0,3,0,60,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,25,1,5,2,1,0,0,1,12,1,1,4,6,1,0
1,10012,1,1,1,22,1,19,49,8,0,1,0,1,1,18,7,18007,4,1996,1G4AG55M2T64,1,G,4,A,G,5,5,M,2,T,6,4,0,P,BUIC,CSL,4D,96,17,2951,,0,1049,,G,,F,6,191,,,14R185,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,2,1,8,0,0,0,1,1,35503,6,1,0,0,3,0,67,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,35,1,1,2,1,0,0,1,80,1,1,1,13,0,0
1,10013,1,1,1,25,1,18,40,1,0,1,0,1,1,72,706,72706,80,1981,1HD1AEK17BY1,1,H,D,1,A,E,K,1,7,B,Y,1,0,M,HD,FLT,RS,81,17,,,,,,,1340,,2,,4,950,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,6,2,1,0,0,0,1,12,35978,6,1,0,0,3,0,70,999,0,1,0,0,1,9,2009,7,2010,0,0,0,0,0,1,2,45,3,1,2,2,0,0,14,13,1,1,4,1,1,0
1,10014,1,1,1,27,1,18,50,42,0,1,0,1,2,35,47,35047,4,2004,1N4AL11D84C1,1,N,4,A,L,1,1,D,8,4,C,1,0,P,NISS,ABS,4D,4,17,2913,,0,1102,,G,,F,4,153,,,16R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,42,0,0,0,1,1,35564,6,1,0,0,3,1,73,165,1,0,0,1,1,8,2010,11,2010,1,89,0,0,0,1,2,45,3,5,2,1,0,0,14,13,1,1,4,1,1,0
1,10015,1,2,2,1,1,3,30,12,1,1,0,1,1,14,6,14006,4,2001,2MEFM75W61X6,2,M,E,F,M,7,5,W,6,1,X,6,0,P,MERC,MGL,4D,1,17,3948,,0,1147,,G,,F,8,281,,,16R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,85,0,0,0,12,6,2,12,0,0,1,1,1,35901,6,1,0,0,3,1,71,150,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,70,1,6,2,1,0,0,1,51,1,1,1,24,2,1
1,10015,2,2,3,1,1,3,30,12,1,1,0,1,1,20,37,20037,4,2000,1G1NE52J9Y61,1,G,1,N,E,5,2,J,9,Y,6,1,0,P,CHEV,M/L,4D,0,17,3077,,0,1070,,G,,F,6,191,,,15R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,6,6,2,12,0,0,0,1,1,36695,6,1,0,0,3,0,68,170,0,0,0,0,0,0,0,0,0,0,89,0,0,0,2,2,70,1,6,2,1,0,0,1,53,1,1,1,25,0,0
1,10016,1,1,1,3,1,12,10,38,0,1,0,1,1,23,461,23461,21,2002,1GJHG39R0212,1,G,J,H,G,3,9,R,0,2,1,2,0,T,GMC,SA3,ES,2,17,,2,0,1550,SAV,G,,,8,350,,,,D,6122,00,E,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,12,6,2,18,0,0,0,1,1,35972,6,1,0,0,3,0,73,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,45,3,1,2,1,0,0,14,13,1,1,4,1,1,0
1,10017,1,1,1,3,1,16,10,53,0,1,0,28,1,63,38,63038,4,2011,KNAFU4A20B58,K,N,A,F,U,4,A,2,0,B,5,8,0,P,KIA,FEX,4D,11,17,2707,,0,1043,,G,,F,4,122,,,15R195,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,12,6,2,42,0,0,0,1,28,39362,6,1,0,0,3,0,73,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,45,1,6,2,1,0,0,1,12,1,1,4,6,1,0
1,10018,1,2,1,4,1,10,30,12,6,1,0,1,1,41,37,41037,4,1997,1YVGE22C0V56,1,Y,V,G,E,2,2,C,0,V,5,6,0,P,MAZD,UDL,4D,97,17,2749,,0,1028,,G,,F,4,122,,,14R195,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,9,6,2,12,0,0,0,1,1,35575,6,1,0,0,3,0,67,170,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,2,35,1,1,2,1,20,3,1,17,1,1,1,89,1,0
1,10018,2,2,1,4,1,10,30,12,6,1,0,1,2,12,481,12481,31,2004,2FTRX17254CA,2,F,T,R,X,1,7,2,5,4,C,A,0,T,FORD,HER,4C,4,17,,2,1570,1390,COF,G,,,6,256,,,,B,4290,00,U,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,12,6,2,12,0,0,0,1,1,35570,6,1,6,0,3,1,73,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,2,5,2,1,0,0,14,66,1,1,1,88,0,0
1,10019,1,1,1,6,1,22,35,1,0,1,0,92,0,22,18,22018,4,2002,1G2NF52E42M6,1,G,2,N,F,5,2,E,4,2,M,6,0,P,PONT,SE1,4D,2,17,3116,,0,1070,,G,,F,6,207,,,15R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,65,0,1,5,0,6,2,1,0,0,0,1,1,36280,6,1,0,0,3,0,67,182,0,0,0,0,0,0,0,0,0,1,89,0,0,0,1,2,45,1,1,2,1,0,0,1,12,1,1,4,6,1,1
1,10020,1,1,1,7,1,9,55,35,0,1,0,1,1,20,481,20481,31,1984,1GCCC14H6EF3,1,G,C,C,C,1,4,H,6,E,F,3,0,T,CHEV,C10,PK,84,17,,1,1315,1175,C10,G,,,8,305,,,,B,3314,08,,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,60,0,1,5,12,6,2,1,0,0,0,1,1,36532,6,1,0,0,3,1,69,145,0,0,0,0,2,5,2010,5,2010,1,0,0,0,0,1,2,45,3,1,2,1,0,0,14,12,1,1,4,6,1,0
1,10021,1,1,1,10,1,2,10,11,0,1,0,1,1,53,705,53705,80,1986,JS1VP51A4G21,J,S,1,V,P,5,1,A,4,G,2,1,0,M,SUZI,VS7,RS,86,17,,,,,,,699,,2,,4,999,,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,11,0,0,0,1,1,36701,6,1,0,0,3,0,67,200,0,0,0,1,0,3,2010,3,2010,0,0,0,0,0,1,2,65,1,1,2,1,0,0,1,87,1,1,1,13,1,1
1,10022,1,1,1,10,1,6,23,8,0,1,0,1,1,12,401,12401,14,1995,1FMDU32X7SUA,1,F,M,D,U,3,2,X,7,S,U,A,0,P,FORD,EPR,UT,95,17,3844,,0,1115,,G,,F,6,245,,,15R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,12,2,3,8,0,0,0,1,1,36080,6,1,0,0,3,0,67,135,1,0,0,0,0,1,2009,1,2009,0,89,0,0,0,1,2,45,3,1,2,2,0,0,14,80,8,1,1,13,0,1
1,10023,1,1,2,10,1,20,15,34,0,1,0,1,1,12,401,12401,14,2000,1FMDU62X8YZC,1,F,M,D,U,6,2,X,8,Y,Z,C,0,P,FORD,EPR,UT,0,17,3865,,0,1116,,G,,F,6,245,,,15R235,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,70,0,1,3,12,6,2,1,0,0,0,1,1,36451,6,1,0,0,3,0,71,149,1,1,0,1,0,1,2009,4,2011,1,0,0,0,0,2,2,55,1,1,2,2,0,0,1,12,1,1,4,6,2,0
1,10024,1,1,1,10,1,15,10,42,0,1,0,1,2,20,471,20471,30,2000,1GCCS1450Y82,1,G,C,C,S,1,4,5,0,Y,8,2,0,T,CHEV,S14,PK,0,17,,1,1179,1083,S,F,,,4,133,,,,B,3029,03,,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,9,6,2,42,0,0,0,1,1,35128,6,1,0,0,3,0,70,196,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,30,3,6,2,2,0,0,14,6,1,3,4,2,1,0
1,10025,1,1,1,12,1,6,45,42,0,1,0,28,1,20,22,20022,4,2005,1G1AK52F1576,1,G,1,A,K,5,2,F,1,5,7,6,0,P,CHEV,CBT,4D,5,17,3216,,0,1033,,G,,F,4,134,,,15R195,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,42,0,0,0,1,1,35452,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0,0,9,99,99,99,99,2,2,65,1,6,2,1,0,0,99,13,1,1,4,1,1,0
1,10026,1,1,2,13,1,21,30,42,0,1,0,1,2,12,3,12003,2,1992,1FACP40E7NF1,1,F,A,C,P,4,0,E,7,N,F,1,0,P,FORD,MLX,2D,92,17,2775,,0,1005,,G,,F,8,302,,,14R195,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,75,0,0,0,9,6,2,42,0,0,0,1,1,35548,6,2,0,0,3,1,70,126,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,55,2,6,2,1,0,0,14,12,1,2,4,7,1,0
1,10027,1,1,1,14,1,1,20,52,0,1,0,1,2,12,17,12017,4,1996,1FALP52U6TA2,1,F,A,L,P,5,2,U,6,T,A,2,0,P,FORD,TAG,4D,96,17,3347,,0,1085,,G,,F,6,182,,,15R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,1,5,12,6,2,52,0,0,0,1,1,36108,1,1,0,0,2,0,70,170,0,2,0,0,1,4,2010,12,2011,9,89,0,0,0,1,2,35,1,1,2,1,0,0,1,12,1,1,4,6,1,1
1,10028,1,2,1,14,1,19,30,12,1,1,0,1,1,20,461,20461,21,1982,1GCEG25H8C71,1,G,C,E,G,2,5,H,8,C,7,1,0,T,CHEV,G20,CG,82,17,,2,1250,1100,VAN,G,,,8,305,,,,CD,3631,02,,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,12,6,2,12,0,0,0,1,1,36375,6,1,0,0,3,1,70,180,1,0,0,0,0,2,2011,2,2011,0,89,0,0,0,1,2,55,1,1,2,1,20,3,1,50,1,1,1,20,1,0
1,10028,2,2,2,14,1,19,30,12,1,1,0,12,1,12,481,12481,31,2006,1FTPW12V66KD,1,F,T,P,W,1,2,V,6,6,K,D,0,T,FORD,F1S,CW,6,17,,2,0,1390,COF,F,,,8,329,,,,B,5176,01,E,42,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,2,12,0,0,0,1,12,32464,6,1,0,0,3,0,72,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,1,1,2,1,20,3,5,53,1,1,1,21,0,0
1,10029,1,2,4,14,1,7,0,12,2,1,0,1,2,23,481,23481,31,2007,2GTEK13V4711,2,G,T,E,K,1,3,V,4,7,1,1,0,T,GMC,NK1,CW,7,17,,2,0,1435,SIE,G,,,8,293,,,,B,5284,00,4,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,36784,6,1,0,0,3,0,73,185,0,0,0,0,0,0,0,0,0,0,28,58,0,0,1,2,55,1,1,2,1,0,0,1,10,1,1,6,50,1,0
1,10029,2,2,1,14,1,7,0,12,2,1,0,1,3,12,481,12481,31,2006,1FTSX21P76ED,1,F,T,S,X,2,1,P,7,6,E,D,0,T,FORD,F2S,4C,6,17,,2,1580,1420,SRW,D,,,8,366,,,,C,6207,01,U,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,36521,6,1,0,0,3,0,64,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,1,1,2,1,0,0,1,63,6,1,1,51,0,0
1,10030,1,1,1,14,1,23,49,30,0,1,0,92,0,21,21,21021,4,2002,1G3NK52F42C3,1,G,3,N,K,5,2,F,4,2,C,3,0,P,OLDS,AGX,4D,2,17,3021,,0,1070,,G,,F,4,134,,,15R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,95,0,1,5,9,6,2,1,0,0,0,1,1,35094,1,1,0,0,2,0,65,185,0,1,0,0,1,11,2010,12,2010,1,37,0,0,0,1,2,25,2,6,2,1,0,0,14,12,1,1,4,6,1,1
1,10031,1,1,1,14,1,5,50,34,0,1,0,1,1,12,16,12016,4,1990,2FACP74F8LX1,2,F,A,C,P,7,4,F,8,L,X,1,0,P,FORD,CVL,4D,90,17,3861,,0,1143,,G,,F,8,302,,,15R215,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,60,0,1,5,12,6,2,1,0,0,0,1,1,35760,6,1,0,0,3,0,69,210,0,1,0,1,1,4,2009,3,2010,1,58,0,0,0,1,2,35,1,1,2,1,0,0,1,13,3,2,4,2,1,1
1,10032,1,2,1,14,1,17,17,12,2,1,0,1,2,12,17,12017,4,1997,1FALP52U5VA1,1,F,A,L,P,5,2,U,5,V,A,1,0,P,FORD,TAG,4D,97,17,3329,,0,1085,,G,,F,6,182,,,15R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,12,0,0,0,1,1,35981,1,1,0,0,2,0,69,140,0,2,0,0,0,6,2009,2,2010,0,28,0,0,0,1,2,55,1,3,2,1,0,0,1,10,1,1,2,50,0,0
1,10032,2,2,2,14,1,17,17,12,2,1,0,13,2,12,17,12017,4,1996,1FALP52U9TG2,1,F,A,L,P,5,2,U,9,T,G,2,0,P,FORD,TAG,4D,96,17,3347,,0,1085,,G,,F,6,182,,,15R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,12,0,0,0,1,13,30707,6,1,0,0,3,1,65,150,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,1,3,2,1,0,0,1,62,1,1,1,51,1,0
1,10033,1,1,1,15,1,22,20,8,0,1,0,1,2,20,9,20009,2,2011,2G1FA1ED0B91,2,G,1,F,A,1,E,D,0,B,9,1,0,P,CHEV,CML,CP,11,17,3769,,0,1123,,G,,F,6,220,,,18R245,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,2,1,8,0,0,0,1,1,36610,6,1,0,0,3,2,60,100,0,1,0,1,0,7,2011,9,2011,0,74,0,0,0,1,2,35,1,1,2,1,0,0,1,80,6,1,1,13,0,0
1,10034,1,1,4,16,1,14,20,1,0,1,0,1,2,30,47,30047,3,2000,3VWCA21C8YM4,3,V,W,C,A,2,1,C,8,Y,M,4,0,P,VOLK,NGS,2H,0,17,2742,,0,989,,G,,F,4,121,,,16R205,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,100,0,1,5,0,6,2,1,0,0,0,1,1,36476,2,1,2,0,2,0,71,220,1,7,0,1,1,11,2009,8,2011,1,0,0,0,0,1,2,45,1,3,2,1,0,0,1,6,1,2,4,2,1,0
1,10035,1,1,1,16,1,1,30,35,0,1,0,1,1,7,482,7482,31,2003,3D7KU28D73G7,3,D,7,K,U,2,8,D,7,3,G,7,0,T,DODG,SQ2,CW,3,17,,2,1605,1405,RPC,G,,,8,345,,,,C,5837,07,E,44,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,85,0,1,5,1,6,2,2,0,0,1,1,1,36467,3,1,0,0,2,0,76,260,2,2,0,1,1,12,2009,12,2010,1,37,0,0,0,1,2,45,2,1,2,1,0,0,14,12,1,1,4,6,1,0
1,10036,1,1,1,17,1,6,50,42,0,1,0,1,1,59,34,59034,4,2001,JT8BL69S0100,J,T,8,B,L,6,9,S,0,1,0,0,0,P,LEXS,G43,4D,1,17,3707,,0,1102,,G,,F,8,262,,,16R225,,,,,,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,90,0,0,0,2,6,2,42,0,0,0,1,1,36544,6,1,0,0,3,0,69,222,1,0,0,1,0,3,2010,3,2011,1,0,0,0,0,2,2,70,1,1,2,1,0,0,1,6,7,2,4,2,1,0
