STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
4,Arizona,40352,1,1,3H3V532C*JT******,2021-09-08 14:29:37,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2018,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
4,Arizona,40380,1,1,5HTJM452*E7******,2021-09-08 14:29:37,0,6,TRAILER,5564,"HEIL TRAILER INTERNATIONAL, CO",5444,J&L,14160,J&L Trailers,2014,,,6,UNITED STATES (USA),TENNESSEE,ATHENS,,,61,Trailer,,,,,15,Tank Trailer,4,Straight Semi/Semi Trailer,45.000,CS ASPHALT,2,,
4,Arizona,40388,2,1,5JLSN422*X5******,2021-09-08 14:29:37,0,6,TRAILER,5564,"HEIL TRAILER INTERNATIONAL, CO",2365,"HEIL TRAILER INTERNATIONAL, CO.",6142,"Heil Trailer International, Co.",1999,,,6,UNITED STATES (USA),TEXAS,RHOME,,Body Shape: Jet,61,Trailer,,,,,103,Bulk,,,42.000,Al Pneumatic,2,,
4,Arizona,40446,3,1,1UYVS253*WU******,2021-09-08 14:29:37,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,1998,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40498,3,1,1JJV532D*JL******,2021-09-08 14:29:38,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2018,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40527,1,1,1JJV281D*AL******,2021-09-08 14:29:38,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2010,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,28.000,,1,,
4,Arizona,40527,1,2,1JJV281D*JL******,2021-09-08 14:29:38,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2018,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,28.000,,1,,
4,Arizona,40534,1,1,1UYVS253*6P******,2021-09-08 14:29:38,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2006,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40582,3,1,10BEA923*EF******,2021-09-08 14:29:38,0,6,TRAILER,5083,BRENNER TANK LLC,6976,BRENNER/BEALL/LAFAYETTE,21580,DOT 406,2014,,,6,UNITED STATES (USA),WISCONSIN,FOND DU LAC,,,61,Trailer,,,,,,,,,,Type of Material: Aluminum,2,,
4,Arizona,40675,2,1,1GRAA561*5K******,2021-09-08 14:29:38,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2005,,,6,UNITED STATES (USA),ILLINOIS,KEWANEE,,Effective 01/01/00,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,28.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,1,,
4,Arizona,40717,1,1,5RXTA182*81******,2021-09-08 14:29:39,0,6,TRAILER,1104,CRUISER RV,544,CRUISER RV,2831,Fun Finder,2008,,,6,UNITED STATES (USA),INDIANA,HOWE,,,61,Trailer,,,,,,,30,Other,18.000,,2,,
4,Arizona,40718,2,1,3H3V532C*KT******,2021-09-08 14:29:39,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2019,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
4,Arizona,40720,2,1,5HTAD442*17******,2021-09-08 14:29:39,0,6,TRAILER,5564,"HEIL TRAILER INTERNATIONAL, CO",2365,"HEIL TRAILER INTERNATIONAL, CO.",6142,"Heil Trailer International, Co.",2001,,,6,UNITED STATES (USA),TENNESSEE,ATHENS,,Body Shape: Drop Frame Cylinder,61,Trailer,,,,,15,Tank Trailer,,,44.000,AL 306/406,2,,
4,Arizona,40720,3,1,1GRAA062*CJ******,2021-09-08 14:29:39,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2012,,,6,UNITED STATES (USA),ARKANSAS,JONESBORO,,"Jacksonville Florida (ended 02/1988); Jonesboro, Arkansas (effective 09/03/02)",61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,Dry Freight Van / Reefer Van / Insulated Van,2,,
4,Arizona,40742,2,1,3H3V532C*GT******,2021-09-08 14:29:39,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2016,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
4,Arizona,40833,2,1,1GRDM902*YM******,2021-09-08 14:29:39,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2000,,,6,UNITED STATES (USA),TENNESSEE,MEMPHIS,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,45.000,Body Type = Straight Deck/ Extendable,2,,
4,Arizona,40849,2,1,1JJV532W*6L******,2021-09-08 14:29:39,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,13327,Wabash National Corporation,2006,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40924,2,1,5DN15442*JB******,2021-09-08 14:29:40,0,6,TRAILER,8543,WESTERN TRAILER COMPANY,3808,WESTERN TRAILER COMPANY,8295,Western Trailer Company,2018,,,6,UNITED STATES (USA),IDAHO,BOISE,Western Trailer Company,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,44.000,Transfer (Express Belt),2,,
4,Arizona,40934,1,1,1W1AFK6B*XK******,2021-09-08 14:29:41,0,6,TRAILER,11681,WILSON TRAILER CO.,3855,WILSON TRAILER CO.,8390,Wilson Trailer Co.,1999,12 FT FOLDING TAILGATE,,6,UNITED STATES (USA),IOWA,SIOUX CITY,PLANT 2,,61,Trailer,,,,,11,Lowboy/Low bed Trailer,,,48.000,OUTSIDE FRAME LEVEL DECK LOWBED,2,,
4,Arizona,40934,3,1,16VGX202*C2******,2021-09-08 14:29:41,0,6,TRAILER,9132,"BIG TEX TRAILER MANUFACTURING, LLC",1136,BIG TEX TRAILER MANUFACTURING,,,2012,,,6,UNITED STATES (USA),TEXAS,MOUNT PLEASANT,"Big Tex Trailer Manufacturing, Inc.",,,,,,,,16,Utility Trailer,3,Gooseneck,20.000,,2,,
5,Arkansas,50022,3,1,1UYVS253*H2******,2021-09-08 14:29:41,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2017,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
5,Arkansas,50042,1,1,1UYVS253*BP******,2021-09-08 14:29:41,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2011,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
5,Arkansas,50042,5,1,1UYVS253*H2******,2021-09-08 14:29:41,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2017,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
5,Arkansas,50175,2,1,1TDH4222*DB******,2021-09-08 14:29:41,0,6,TRAILER,8330,TIMPTE INC.,5331,"TIMPTE, INC",13636,Timpte,2013,,,6,UNITED STATES (USA),NEBRASKA,DAVID CITY,,"Seventh VIN position indicates the additional length of the trailer to the nearest inch up to 9 inches. If the additional length is 10 inches or more the seventh character is zero (0) and the sixth character will be increased to the next foot. For example : a 42ft 9in trailer will be represent in VIN position 5, 6 & 7 as ""429"" and a 42ft 10in. trailer will be represented in VIN position 5 , 6 & 7 as ""430"" respectively.",,,,,,,174,Dry Bulk Trailer,,,42.000,Dry Bulk-Bottom Hopper,2,,
5,Arkansas,50415,1,1,1A9L8253*HA245***,2021-09-08 14:29:41,0,6,TRAILER,5198,ATOKA TRAILER & MFG. L.L.C.,3957,ATOKA TRAILER & MFG.,8614,Atoka Trailer & Mfg.,2017,50 ton/45359kg,,6,UNITED STATES (USA),OKLAHOMA,ATOKA,,,61,Trailer,,,,,11,Lowboy/Low bed Trailer,,,25.000,,3,,
5,Arkansas,50415,2,1,1A9L8253*HA245***,2021-09-08 14:29:41,0,6,TRAILER,5198,ATOKA TRAILER & MFG. L.L.C.,3957,ATOKA TRAILER & MFG.,8614,Atoka Trailer & Mfg.,2017,50 ton/45359kg,,6,UNITED STATES (USA),OKLAHOMA,ATOKA,,,61,Trailer,,,,,11,Lowboy/Low bed Trailer,,,25.000,,3,,
6,California,60058,1,1,3H3V532C*JR******,2021-09-08 14:29:42,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2018,,,12,MEXICO,BAJA CALIFORNIA,ROSARITO,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
6,California,60070,1,1,LJRC4126*G1******,2021-09-08 14:29:42,0,6,TRAILER,9950,"CIMC VEHICLES GROUP CO., LTD.",4101,CIMC VEHICLES GROUP CO,8811,CIMC VEHICLES GROUP CO,2016,,,8,CHINA,,SHENZHEN,,"GVWR = 30,000-34,990kg",61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,109,Container Chassis/Container Trailer,,,41.000,,2,,
6,California,60095,1,1,591SD402*JC******,2021-09-08 14:29:42,0,6,TRAILER,7719,"DRAGON ESP, LTD",1415,DRAGON ESP,4763,Dragon ESP,2018,,,6,UNITED STATES (USA),CALIFORNIA,LATHROP,,,,,,,,,4,Dump Trailer/Dumping Trailer,4,Straight Semi/Semi Trailer,40.000,,2,,
6,California,60123,1,1,1UYVS253*CP******,2021-09-08 14:29:42,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2012,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,60123,8,1,1UYVS252*HU******,2021-09-08 14:29:42,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2017,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,52.000,,2,,
6,California,60139,2,1,1PT01ANL*19******,2021-09-08 14:29:42,0,6,TRAILER,3233,TRAILMOBILE (PULLMAN INCORPORATED),6072,TRAILMOBILE,15904,Trailmobile Trailer,2001,Optimum,,6,UNITED STATES (USA),ILLINOIS,CHARLESTON,,,61,Trailer,,,,,,,,,,Straight Frame,,3,Tandem
6,California,60147,2,1,1GRAA062*GW******,2021-09-08 14:29:43,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2016,,,6,UNITED STATES (USA),NEBRASKA,WAYNE,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,Dry Freight Van / Reefer Van / Insulated Van,2,,
6,California,60178,2,1,1PMS2452*G1******,2021-09-08 14:29:43,0,6,TRAILER,6179,"POLAR TANK TRAILER, LLC",2921,POLAR TANK TRAILER,6874,Polar Tank Trailer,2016,,,6,UNITED STATES (USA),MINNESOTA,OPOLE,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,45.000,Tank Vessel Code: DOT 406,2,,
6,California,60244,2,1,1UYVS248*NU******,2021-09-08 14:29:43,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2022,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,48.000,,2,,
6,California,60245,2,1,13N24820*H1******,2021-09-08 14:29:43,0,6,TRAILER,12268,FONTAINE COMMERCIAL PLATFORM,1128,FONTAINE TRAILER CO.,4416,Fontaine Trailer Co.,2017,,,6,UNITED STATES (USA),ALABAMA,HALEYVILLE,,Optional Features: None,61,Trailer,,,,,61,Drop Deck Trailer,,,48.000,,2,,
6,California,60307,1,1,5V8VA532*CM******,2021-09-08 14:29:43,0,6,TRAILER,16522,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),6474,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),17782,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),2012,,,6,UNITED STATES (USA),INDIANA,MONON,,,61,Trailer,,,,,,,,,53.000,Interior Post Aluminum Semi Trailer,2,3,Tandem
6,California,60323,2,1,4HXSU101*FC******,2021-09-08 14:29:43,0,6,TRAILER,6639,"CARSON TRAILER, INC.",6799,CARSON TRAILER,,,2015,,,6,UNITED STATES (USA),CALIFORNIA,GARDENA,,,,,,,,,16,Utility Trailer,,,10.000,,1,,
6,California,60351,2,1,1JJV532D*HL******,2021-09-08 14:29:44,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,10942,Dry Van Duraplate,2017,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
6,California,60376,3,1,3H3C532S*XT******,2021-09-08 14:29:44,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,1999,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,109,Container Chassis/Container Trailer,,,53.000,Material: Steel,2,,
6,California,60377,2,1,2SWUW11A*2G******,2021-09-08 14:29:44,0,6,TRAILER,10656,1652344 ONTARIO LIMITED,2833,SNOWBEAR,6778,SnowBear Trailer,2002,,,1,CANADA,ONTARIO,GUELPH,,,61,Trailer,10,"Class 1A: 3,000 lb or less (1,360 kg or less)",,,16,Utility Trailer,,,,Body Type: Welded Frame,1,,
6,California,60572,2,1,1BN2B191*4P******,2021-09-08 14:29:44,0,6,TRAILER,4571,BEALL TRAILERS,4862,BEALL TRAILERS,11201,Beall Trailers,2004,,,6,UNITED STATES (USA),OREGON,PORTLAND,,,61,Trailer,,,,,103,Bulk,4,Straight Semi/Semi Trailer,19.000,,1,,
6,California,60581,1,1,42EDPHE4*V1******,2021-09-08 14:29:44,0,6,TRAILER,4600,"ECONOLINE TRAILERS, INC.",1431,"ECONOLINE TRAILER, INC",4780,"Econoline Trailer, INC",1997,12 ton / 4 axle,,6,UNITED STATES (USA),ALABAMA,DOUBLE SPRINGS,,,61,Trailer,,,,,125,Dovetail,2,Pintle Hitch/Hook,23.000,,4,,
6,California,60584,2,1,1PT01AAH*K9******,2021-09-08 14:29:44,0,6,TRAILER,3233,TRAILMOBILE (PULLMAN INCORPORATED),6072,TRAILMOBILE,15904,Trailmobile Trailer,2019,Optimum,,6,UNITED STATES (USA),ILLINOIS,CHARLESTON,,,61,Trailer,,,,,,,,,,Straight Frame,,3,Tandem
6,California,60601,2,1,1UYVS248*J2******,2021-09-08 14:29:44,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2018,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,48.000,,2,,
6,California,60626,1,1,1P9EF162*EV044***,2021-09-08 14:29:44,0,6,TRAILER,8279,PERFORMANCE TRAILERS,5630,PERFORMANCE TRAILERS,14524,Performance Trailers,2014,,,6,UNITED STATES (USA),CALIFORNIA,VISTA,,,61,Trailer,,,,,23,Equipment Trailer,,,16.000,Flatbed,2,,
6,California,60645,2,1,1JJV532F*WF******,2021-09-08 14:29:45,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4963,FRUEHUAF,12125,Fruehuaf,1998,,,6,UNITED STATES (USA),IOWA,FORT MADISON,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
6,California,60743,1,1,53BLTEB2*FF******,2021-09-08 14:29:45,0,6,TRAILER,6339,"LGS INDUSTRIES, INC.",1919,LGS INDUSTRIES,5447,LOOK,2015,,,6,UNITED STATES (USA),ARIZONA,,,,61,Trailer,,,,,5,Enclosed Trailer,1,Ball Type Pull,29.000,Length = 20-29,2,,
6,California,60747,3,1,1UYVS253*9U******,2021-09-08 14:29:45,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2009,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
6,California,60759,2,1,4YDF2442*AC******,2021-09-08 14:29:45,0,6,TRAILER,2347,KEYSTONE RV,7615,KEYSTONE,20555,Keystone,2010,,,6,UNITED STATES (USA),OREGON,PENDLETON,901,Arbitrary Final Digit,61,Trailer,,,,,26,Fifth Wheel,5,Fifth Wheel,24.000,Recreational Vehicle,2,,
6,California,60787,2,1,1GRAA962*4W******,2021-09-08 14:29:45,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2004,,,6,UNITED STATES (USA),NEBRASKA,WAYNE,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,48.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
6,California,60883,1,1,1JJV532W*1L******,2021-09-08 14:29:46,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH NATIONAL CORPORATION,13327,Wabash National Corporation,2001,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
6,California,60885,1,1,4HXDC182*YC******,2021-09-08 14:29:46,0,6,TRAILER,6639,"CARSON TRAILER, INC.",6799,CARSON TRAILER,,,2000,,,6,UNITED STATES (USA),CALIFORNIA,GARDENA,,,,,,,,,16,Utility Trailer,,,18.000,,2,,
6,California,60920,1,1,1GRAA062*5W******,2021-09-08 14:29:46,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2005,,,6,UNITED STATES (USA),NEBRASKA,WAYNE,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,Trailer Type = Dry Freight/ Reefer/ Insulated Van,2,,
6,California,60986,2,1,1PT07APE*Y9******,2021-09-08 14:29:46,0,6,TRAILER,3233,TRAILMOBILE (PULLMAN INCORPORATED),6072,TRAILMOBILE,15904,Trailmobile Trailer,2000,Optimum,,6,UNITED STATES (USA),ILLINOIS,CHARLESTON,,,61,Trailer,,,,,,,,,,Straight Frame,,5,Single
6,California,60991,4,1,1UYVS253*FM******,2021-09-08 14:29:46,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2015,,,6,UNITED STATES (USA),VIRGINIA,MARION,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
